inc,m,f,t,csr,Hk,X,caste,inc_cls,d_girl6,mean_frac
1.741734,415,430,845,.9651163,-.0177515,422.5,1,1,.5088757,.5256909
1.916778,374,380,754,.9842106,-.0079575,377,1,2,.5039788,.5047531
2.268117,439,395,834,1.111392,.0527578,417,1,3,.4736211,.4739495
2.282666,543,517,1060,1.05029,.0245283,530,1,4,.4877358,.4745304
2.29102,345,313,658,1.102236,.0486322,329,1,5,.4756839,.4726219
2.315638,565,446,1011,1.266816,.1177052,505.5,1,6,.4411474,.4641127
2.346767,268,237,505,1.130802,.0613861,252.5,1,7,.4693069,.4726134
2.930738,328,277,605,1.184116,.0842975,302.5,1,8,.4578512,.4995446
3.054072,220,190,410,1.157895,.0731707,205,1,9,.4634146,.4830275
3.113357,272,240,512,1.133333,.0625,256,1,10,.46875,.4684731
1.266068,30,53,83,.5660377,-.2771085,41.5,4,1,.6385542,.5256909
1.367654,23,34,57,.6764706,-.1929825,28.5,4,2,.5964912,.5047531
1.660379,34,39,73,.8717949,-.0684931,36.5,4,3,.5342466,.4739495
1.708578,38,35,73,1.085714,.0410959,36.5,4,4,.479452,.4745304
1.70903,34,45,79,.7555556,-.1392405,39.5,4,5,.5696203,.4726219
1.709649,35,32,67,1.09375,.0447761,33.5,4,6,.4776119,.4641127
1.710505,39,42,81,.9285714,-.0370371,40.5,4,7,.5185185,.4726134
2.0751,29,23,52,1.26087,.1153846,26,4,8,.4423077,.4995446
2.278841,25,28,53,.8928571,-.0566038,26.5,4,9,.5283019,.4830275
2.280729,23,18,41,1.277778,.1219512,20.5,4,10,.4390244,.4684731
1.710537,74,68,142,1.088235,.0422535,71,5,1,.4788733,.5256909
1.979636,80,75,155,1.066667,.0322581,77.5,5,2,.483871,.5047531
2.195363,93,72,165,1.291667,.1272727,82.5,5,3,.4363636,.4739495
2.195423,85,66,151,1.287879,.1258278,75.5,5,4,.4370861,.4745304
2.195487,103,68,171,1.514706,.2046784,85.5,5,5,.3976608,.4726219
2.195665,75.00001,92.99999,168,.8064517,-.1071428,84,5,6,.5535714,.4641127
2.321802,76,72,148,1.055556,.027027,74,5,7,.4864865,.4726134
2.927154,41,44,85,.931818,-.0352942,42.5,5,8,.5176471,.4995446
2.927308,51,46,97,1.108696,.0515464,48.5,5,9,.4742268,.4830275
2.927733,36,54,90,.6666666,-.2000001,45,5,10,.6,.4684731
1.092442,70,72,142,.9722222,-.0140845,71,7,1,.5070422,.5256909
1.260099,84,76,160,1.105263,.05,80,7,2,.475,.5047531
1.294984,73,52,125,1.403846,.168,62.5,7,3,.416,.4739495
1.476296,67,49,116,1.367347,.1551724,58,7,4,.4224138,.4745304
1.572733,63,61,124,1.032787,.016129,62,7,5,.4919355,.4726219
1.590222,61,48,109,1.270833,.1192661,54.5,7,6,.440367,.4641127
1.64443,57,54,111,1.055556,.027027,55.5,7,7,.4864865,.4726134
1.905409,38,45,83,.8444445,-.0843373,41.5,7,8,.5421687,.4995446
2.111487,32,40,72,.8,-.1111111,36,7,9,.5555556,.4830275
2.206746,34,27,61,1.259259,.1147541,30.5,7,10,.442623,.4684731
1.092346,86,105,191,.8190476,-.0994764,95.5,10,1,.5497382,.5256909
1.28646,129,102,231,1.264706,.1168831,115.5,10,2,.4415585,.5047531
1.380602,86,94,180,.9148936,-.0444444,90,10,3,.5222222,.4739495
1.549212,86,114,200,.7543859,-.14,100,10,4,.57,.4745304
1.609481,78,64,142,1.21875,.0985916,71,10,5,.4507042,.4726219
1.666179,83,76,159,1.092105,.0440252,79.5,10,6,.4779874,.4641127
1.784826,91,86,177,1.05814,.0282486,88.5,10,7,.4858757,.4726134
2.032685,54,65,119,.8307692,-.092437,59.5,10,8,.5462185,.4995446
2.177998,57,47,104,1.212766,.0961538,52,10,9,.4519231,.4830275
2.374582,61,54,115,1.12963,.0608696,57.5,10,10,.4695652,.4684731
1.494901,231,254,485,.9094489,-.0474226,242.5,14,1,.5237113,.5256909
1.625413,203,271,474,.7490775,-.1434599,237,14,2,.57173,.5047531
1.938464,260,219,479,1.187215,.085595,239.5,14,3,.4572025,.4739495
1.950545,260,222,482,1.171171,.0788382,241,14,4,.4605809,.4745304
1.959721,269,242,511,1.11157,.0528376,255.5,14,5,.4735812,.4726219
1.974627,269,235,504,1.144681,.0674603,252,14,6,.4662699,.4641127
2.000001,270,213,483,1.267606,.1180124,241.5,14,7,.4409938,.4726134
2.534413,157,144,301,1.090278,.0431894,150.5,14,8,.4784053,.4995446
2.613041,152,124,276,1.225806,.1014493,138,14,9,.4492754,.4830275
2.656618,155,153,308,1.013072,.0064935,154,14,10,.4967532,.4684731
.7492729,69.99999,77.00001,147,.9090907,-.0476192,73.5,17,1,.5238096,.5256909
.9033745,38,41,79,.9268293,-.0379747,39.5,17,2,.5189874,.5047531
.9262292,51,53,104,.9622643,-.0192307,52,17,3,.5096154,.4739495
1.071888,48,37,85,1.297297,.1294117,42.5,17,4,.4352941,.4745304
1.134246,47,44,91,1.068182,.0329671,45.5,17,5,.4835165,.4726219
1.152761,45,36,81,1.25,.1111111,40.5,17,6,.4444444,.4641127
1.195132,45,34,79,1.323529,.1392405,39.5,17,7,.4303797,.4726134
1.439841,25,34,59,.7352941,-.1525424,29.5,17,8,.5762712,.4995446
1.526067,31,25,56,1.24,.1071429,28,17,9,.4464286,.4830275
1.585291,21,19,40,1.105263,.05,20,17,10,.475,.4684731
