inc,m,f,t,csr,Hk,X
1.810237,127.9306,174.0694,302,.7349398,-.1527778,151
2.154983,99.46988,92.53012,192,1.075,.0361446,96
2.300036,92.72251,68.27749,161,1.358025,.1518324,80.5
2.37583,90.69333,88.30667,179,1.027027,.0133333,89.5
2.41569,90.19444,100.8056,191,.8947368,-.0555556,95.5
2.443054,115.0875,82.9125,198,1.38806,.1625,99
2.645357,53.23637,42.76363,96,1.244898,.109091,48
3.082627,17.11957,17.88043,35,.9574469,-.0217391,17.5
3.20485,17.11628,14.88372,32,1.15,.0697674,16
3.282727,23.93617,26.06383,50,.9183674,-.0425532,25
